epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.69512,1.54978,3.02367,1.93625,0.06736,0.375,0.04603,0.01842,2.67463,22.3392,3.47489,0.00025005,0.00025005,0.00025005
2,9.07864,1.58425,2.27771,1.85201,0,0,0,0,nan,nan,nan,0.000513116,0.000513116,0.000513116
3,13.4685,1.7208,2.03676,1.92682,0,0,0,0,nan,nan,nan,0.000772409,0.000772409,0.000772409
4,17.8367,1.69079,2.04577,1.9276,0,0,0,0,nan,nan,nan,0.00102793,0.00102793,0.00102793
5,22.3054,1.70148,1.97485,1.92063,0,0,0,0,nan,nan,nan,0.00127968,0.00127968,0.00127968
6,26.967,1.58279,1.90386,1.79664,0,0,0,0,nan,nan,nan,0.00152766,0.00152766,0.00152766
7,31.3239,1.64092,1.92767,1.83041,0,0,0,0,nan,nan,nan,0.00159627,0.00159627,0.00159627
8,35.7225,1.51787,1.8228,1.75515,0.00487,0.03409,0.00086,0.00017,nan,nan,nan,0.00158448,0.00158448,0.00158448
9,40.1446,1.52394,1.86955,1.7523,0.05505,0.13636,0.03436,0.00835,nan,nan,nan,0.0015727,0.0015727,0.0015727
10,44.5874,1.45525,1.68941,1.71565,0.05013,0.55682,0.03293,0.00626,3.1541,75.4168,4.11236,0.00156091,0.00156091,0.00156091
11,49.118,1.45174,1.74615,1.67943,0.01646,0.17045,0.00499,0.00125,3.52808,15.0017,4.50914,0.00154912,0.00154912,0.00154912
12,53.5795,1.45399,1.79919,1.70767,0.04358,0.14773,0.0345,0.01081,2.68751,42.0695,3.48875,0.00153733,0.00153733,0.00153733
13,58.0451,1.50349,1.79921,1.70936,0.03912,0.06818,0.02034,0.00549,3.50296,26.9627,4.67334,0.00152554,0.00152554,0.00152554
14,62.5179,1.51125,1.77866,1.73229,0.63386,0.38636,0.16032,0.08804,2.72491,3.79579,5.2629,0.00151376,0.00151376,0.00151376
15,67.0638,1.31496,1.69691,1.62385,0.31168,0.375,0.25067,0.14018,2.48486,inf,3.30694,0.00150197,0.00150197,0.00150197
16,71.6793,1.38515,1.67251,1.61263,0.20221,0.36437,0.17544,0.06687,2.53684,4.14396,2.92983,0.00149018,0.00149018,0.00149018
17,76.1539,1.37708,1.55892,1.58812,0.34525,0.51651,0.28801,0.12753,2.55096,5.15968,3.29167,0.00147839,0.00147839,0.00147839
18,80.6283,1.29864,1.52636,1.56256,0.63954,0.31818,0.39155,0.2042,2.33837,2.99301,3.11747,0.0014666,0.0014666,0.0014666
19,85.1587,1.367,1.51789,1.57222,0.17808,0.02273,0.02235,0.01455,3.30101,6.08443,3.87234,0.00145481,0.00145481,0.00145481
20,89.6469,1.31014,1.55665,1.55118,0.31836,0.31818,0.21882,0.08486,2.92509,2.4385,3.20346,0.00144303,0.00144303,0.00144303
21,94.2109,1.37201,1.59063,1.60906,0.34591,0.46591,0.35648,0.1765,1.96814,2.02153,2.19564,0.00143124,0.00143124,0.00143124
22,98.6977,1.33641,1.53905,1.57195,0.52196,0.46591,0.49145,0.20955,1.94789,1.99174,2.15093,0.00141945,0.00141945,0.00141945
23,103.249,1.34973,1.5873,1.60875,0.43494,0.36364,0.34033,0.13281,2.21913,2.72697,2.44665,0.00140766,0.00140766,0.00140766
24,107.743,1.30694,1.51547,1.55717,0.41351,0.40909,0.37429,0.15324,2.22197,2.65895,2.56003,0.00139587,0.00139587,0.00139587
25,112.238,1.30663,1.487,1.58901,0.24936,0.54545,0.36445,0.17931,2.02943,2.38681,2.20003,0.00138409,0.00138409,0.00138409
