epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.36035,0.95692,2.8032,1.59464,0.68433,0.45455,0.42722,0.34393,0.9694,9.23579,1.42858,0.00015003,0.00015003,0.00015003
2,9.28787,1.0213,2.21746,1.54296,0.00625,0.38864,0.01205,0.00586,nan,nan,nan,0.000314886,0.000314886,0.000314886
3,14.1051,0.93999,1.73836,1.44227,0.00473,0.74545,0.00601,0.00244,nan,nan,nan,0.000477799,0.000477799,0.000477799
4,18.9185,1.02539,1.78375,1.51343,0.04693,0.48636,0.05079,0.0127,nan,nan,nan,0.000638772,0.000638772,0.000638772
5,23.6906,1.31831,1.83027,1.67077,0,0,0,0,nan,nan,nan,0.000797803,0.000797803,0.000797803
6,28.45,1.20214,1.73166,1.65425,0,0,0,0,nan,nan,nan,0.000954892,0.000954892,0.000954892
7,33.2353,1.0573,1.60181,1.51271,0,0,0,0,nan,nan,nan,0.00111004,0.00111004,0.00111004
8,37.9889,0.92684,1.54249,1.48305,0,0,0,0,nan,nan,nan,0.00126325,0.00126325,0.00126325
9,42.7718,1.10367,1.55796,1.50943,0,0,0,0,nan,nan,nan,0.00141451,0.00141451,0.00141451
10,47.5405,0.98225,1.4785,1.47957,0.02464,0.11364,0.01143,0.00444,nan,nan,nan,0.00156383,0.00156383,0.00156383
11,52.303,1.01346,1.47234,1.49324,0.06138,0.09318,0.04123,0.02182,nan,nan,nan,0.00156992,0.00156992,0.00156992
12,57.0876,0.94758,1.41351,1.44171,0.01365,0.18182,0.00975,0.0071,nan,nan,nan,0.00156021,0.00156021,0.00156021
13,61.8577,1.04149,1.47318,1.49545,0.0209,0.71364,0.02121,0.00763,nan,nan,nan,0.00155051,0.00155051,0.00155051
14,66.6356,0.88184,1.34761,1.37758,0.23495,0.16136,0.11074,0.06699,2.88229,3.36267,14.3426,0.0015408,0.0015408,0.0015408
15,71.4355,0.92097,1.3533,1.44346,0.4339,0.20455,0.20962,0.12171,3.34564,3.62404,9.03023,0.00153109,0.00153109,0.00153109
16,76.2678,0.86052,1.32378,1.38567,0,0,0,0,0,0,0,0.00152138,0.00152138,0.00152138
17,81.1465,0.83922,1.32378,1.36937,0.19321,0.16591,0.08676,0.03889,nan,nan,nan,0.00151167,0.00151167,0.00151167
18,85.9444,0.91166,1.39703,1.40791,0.16796,0.52955,0.28357,0.1536,1.87071,3.21862,2.54072,0.00150197,0.00150197,0.00150197
19,90.721,0.88103,1.38624,1.40323,0.25863,0.875,0.49027,0.34854,1.43582,2.29382,2.27474,0.00149226,0.00149226,0.00149226
20,95.7025,0.82223,1.28185,1.39005,0.43947,0.92727,0.58914,0.43677,1.27832,1.44477,1.93789,0.00148255,0.00148255,0.00148255
21,100.76,0.85759,1.30469,1.38017,0.45974,0.85682,0.52133,0.3294,1.32835,1.75044,1.9785,0.00147284,0.00147284,0.00147284
22,105.591,0.78422,1.27613,1.35528,0.47379,0.92605,0.58566,0.43531,1.05587,1.36549,1.51676,0.00146314,0.00146314,0.00146314
23,110.432,0.85122,1.31028,1.39507,0.48281,0.92383,0.49496,0.35753,1.13748,1.54437,1.58679,0.00145343,0.00145343,0.00145343
