epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.06966,1.054,2.88254,1.55402,0.00341,0.95,0.05558,0.02414,0.8382,2.87322,1.29768,0.00015003,0.00015003,0.00015003
2,1.81354,0.71013,2.49704,1.34481,0.00352,1,0.40611,0.28203,0.79958,2.65944,1.31241,0.000315788,0.000315788,0.000315788
3,2.54237,0.69404,1.85491,1.28911,0.0033,0.97727,0.38244,0.20237,1.25894,2.53456,1.5236,0.000480556,0.000480556,0.000480556
4,3.26348,0.70785,1.67458,1.30953,0.43107,0.81798,0.43595,0.12736,2.03474,2.27463,2.75607,0.000644332,0.000644332,0.000644332
5,3.99124,0.76969,1.67072,1.35481,0.4021,0.59015,0.45217,0.19638,1.41662,2.14875,1.82524,0.000807116,0.000807116,0.000807116
6,4.70533,0.71488,1.43374,1.28791,0.32466,0.62273,0.37304,0.12213,2.01182,3.01249,2.63315,0.00096891,0.00096891,0.00096891
7,5.41423,0.6731,1.30811,1.27203,0.56833,0.74421,0.74323,0.44004,0.97109,2.11795,1.75384,0.00112971,0.00112971,0.00112971
