epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.88252,1.88668,3.60774,2.18756,0.05541,0.06273,0.07377,0.03866,1.96534,4.12446,2.45849,0.001,0.001,0.001
2,10.1948,1.57432,3.07736,1.96933,0.31634,0.48818,0.31415,0.20111,1.85719,2.58348,2.56632,0.00209976,0.00209976,0.00209976
3,15.5389,1.40418,2.35319,1.7551,0.43886,0.46545,0.34413,0.18761,1.91462,2.55214,2.3331,0.00319925,0.00319925,0.00319925
4,20.729,1.27048,1.9899,1.6269,0.33629,0.50541,0.35573,0.18386,2.09469,2.44045,2.30761,0.0042985,0.0042985,0.0042985
5,25.9028,1.21753,1.77393,1.569,0.54179,0.43364,0.41454,0.19823,2.11617,2.17436,2.64142,0.00539748,0.00539748,0.00539748
6,31.1883,1.24305,1.92272,1.5962,0.573,0.53195,0.49868,0.27006,1.89419,1.74947,2.35344,0.00649621,0.00649621,0.00649621
7,36.4868,1.17586,1.78311,1.49555,0.48953,0.55197,0.39345,0.2196,1.94857,2.70769,2.50621,0.00759469,0.00759469,0.00759469
8,41.6662,1.27194,1.58023,1.51869,0.59581,0.33834,0.41002,0.20907,2.19015,2.04923,2.79844,0.00869291,0.00869291,0.00869291
9,46.8716,1.2763,1.65805,1.55825,0.22895,0.29636,0.21838,0.0826,2.43856,2.39061,2.83466,0.00979087,0.00979087,0.00979087
10,52.0608,1.32259,1.95063,1.63141,0.16951,0.24,0.14715,0.05448,2.63671,3.6695,3.00751,0.00998952,0.00998952,0.00998952
11,57.4608,1.32686,1.86529,1.65009,0.44216,0.37818,0.24477,0.09733,2.18773,2.98953,2.9161,0.00998835,0.00998835,0.00998835
12,62.752,1.18711,1.73461,1.5294,0.78704,0.38,0.35193,0.19191,2.74931,2.85895,5.54982,0.00998719,0.00998719,0.00998719
13,68.1011,1.24859,1.55267,1.57339,0.30761,0.44545,0.27781,0.14037,2.70057,2.91856,5.67691,0.00998602,0.00998602,0.00998602
14,73.4289,1.32595,1.5583,1.60737,0.13862,0.34,0.13631,0.06436,3.43906,6.66635,7.4071,0.00998486,0.00998486,0.00998486
