epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.25262,0.95692,2.8032,1.59464,0.68433,0.45455,0.42722,0.34393,0.9694,9.23579,1.42858,0.00015003,0.00015003,0.00015003
2,9.10549,0.9928,2.42559,1.53069,0.03703,0.57727,0.02445,0.00882,nan,nan,nan,0.000313594,0.000313594,0.000313594
3,13.9091,1.05556,1.95978,1.52158,0.02197,0.44318,0.01603,0.00803,nan,nan,nan,0.000473858,0.000473858,0.000473858
4,18.6941,0.98499,1.62976,1.49352,0,0,0,0,nan,nan,nan,0.000630821,0.000630821,0.000630821
5,23.4392,1.09262,1.6098,1.55403,0,0,0,0,nan,nan,nan,0.000784484,0.000784484,0.000784484
6,28.3317,1.03768,1.53738,1.52641,0,0,0,0,nan,nan,nan,0.000934845,0.000934845,0.000934845
7,33.2857,1.00996,1.4529,1.51548,0,0,0,0,nan,nan,nan,0.00108191,0.00108191,0.00108191
8,38.1225,0.98079,1.51777,1.50617,0,0,0,0,nan,nan,nan,0.00122567,0.00122567,0.00122567
9,42.8955,1.09326,1.5301,1.48867,0,0,0,0,nan,nan,nan,0.00136613,0.00136613,0.00136613
10,47.6813,1.06649,1.47257,1.50962,0,0,0,0,nan,nan,nan,0.00150329,0.00150329,0.00150329
11,52.4886,0.99894,1.46219,1.46986,0,0,0,0,nan,nan,nan,0.00150197,0.00150197,0.00150197
12,57.3725,0.92557,1.35651,1.42419,0.00192,0.06818,0.00097,0.00076,nan,nan,nan,0.00148546,0.00148546,0.00148546
13,62.2103,1.07476,1.46117,1.53423,0.00345,0.33636,0.00297,0.0013,nan,nan,nan,0.00146896,0.00146896,0.00146896
14,67.0639,0.86391,1.3095,1.37408,0.00731,0.55455,0.0056,0.00341,nan,nan,nan,0.00145246,0.00145246,0.00145246
15,71.8493,0.9333,1.36343,1.4209,0.21171,0.69318,0.25221,0.13478,1.3265,21.9682,5.14384,0.00143595,0.00143595,0.00143595
16,76.6449,0.8642,1.29772,1.39465,0.04746,0.0739,0.03753,0.00832,3.65521,6.20344,3.92279,0.00141945,0.00141945,0.00141945
17,81.4407,0.87072,1.30687,1.38234,0.02412,0.14318,0.00487,0.00081,4.24328,178.222,6.23758,0.00140295,0.00140295,0.00140295
18,86.2309,0.96866,1.4125,1.45601,0.09041,0.625,0.07944,0.0352,1.82504,inf,15.7806,0.00138644,0.00138644,0.00138644
19,91.0279,0.88252,1.39979,1.39773,0.11872,0.675,0.13847,0.05717,1.63009,inf,13.7056,0.00136994,0.00136994,0.00136994
20,95.8245,0.83372,1.28718,1.37468,0.31343,0.72045,0.27613,0.1733,1.4355,1.89019,2.2194,0.00135344,0.00135344,0.00135344
