epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.988817,1.02489,2.88444,1.50812,0.00389,1,0.04533,0.0166,1.20486,2.92958,1.57184,0.00011669,0.00011669,0.00011669
2,1.72847,0.66999,2.5794,1.32788,0.00344,1,0.4393,0.27006,0.572,2.71884,1.03498,0.000246956,0.000246956,0.000246956
3,2.45733,0.61452,1.98243,1.27499,0.00331,0.97778,0.31144,0.12488,1.87531,2.65611,2.72689,0.000373921,0.000373921,0.000373921
4,3.18563,0.6555,1.74855,1.28241,0.75575,0.29534,0.47272,0.23302,1.37295,2.334,2.17032,0.000497585,0.000497585,0.000497585
5,3.92257,0.66109,1.58054,1.28034,0.50763,0.75983,0.55855,0.31272,1.30526,1.93943,2.25235,0.000617949,0.000617949,0.000617949
6,4.66287,0.66558,1.46275,1.26049,0.43977,0.67094,0.6295,0.41622,1.30486,1.70435,2.33081,0.000735012,0.000735012,0.000735012
7,5.40376,0.60777,1.2546,1.24291,0.54912,0.88547,0.80131,0.53251,1.22977,2.54733,2.20607,0.000848774,0.000848774,0.000848774
8,6.13131,0.63209,1.30981,1.24858,0.34482,0.67436,0.45208,0.25624,1.40838,5.17453,2.04739,0.000959236,0.000959236,0.000959236
9,6.84646,0.63126,1.21574,1.24667,0.72982,0.90316,0.88773,0.66746,0.93202,1.44113,1.5603,0.0010664,0.0010664,0.0010664
10,7.55789,0.65387,1.19332,1.23791,0.58107,0.6094,0.62567,0.38018,1.18902,4.0627,1.87631,0.00117026,0.00117026,0.00117026
11,8.2684,0.70551,1.18068,1.24258,0.30682,0.45897,0.30695,0.15181,1.57218,4.17215,2.57113,0.00127082,0.00127082,0.00127082
12,8.96383,0.65995,1.15335,1.25814,0.68108,0.46154,0.48388,0.30899,1.05283,4.21489,2.01307,0.00136808,0.00136808,0.00136808
13,9.66052,0.66721,1.20762,1.2658,0.63606,0.89658,0.81811,0.50199,1.29335,1.37891,2.58289,0.00141945,0.00141945,0.00141945
14,10.3586,0.62871,1.10381,1.22334,0.70711,0.81795,0.79704,0.4721,1.20894,2.10963,1.88838,0.00139882,0.00139882,0.00139882
15,11.0554,0.60527,0.96878,1.21859,0.60213,0.7607,0.75784,0.49422,1.04187,2.66137,1.84363,0.00137819,0.00137819,0.00137819
16,11.753,0.59443,1.09598,1.18593,0.71186,0.79628,0.81638,0.49011,1.25372,2.05716,1.80209,0.00135756,0.00135756,0.00135756
17,12.4472,0.59825,0.97248,1.1779,0.54113,0.78557,0.72098,0.38385,1.47878,2.39784,1.90853,0.00133693,0.00133693,0.00133693
18,13.2429,0.57292,1.04669,1.18897,0.66565,0.77415,0.76772,0.43589,1.28038,1.81266,1.60697,0.0013163,0.0013163,0.0013163
19,13.9331,0.59362,1.05207,1.19971,0.8179,0.76347,0.82327,0.46566,1.19277,1.45023,1.58695,0.00129568,0.00129568,0.00129568
20,14.6243,0.57916,0.97101,1.18217,0.76426,0.69915,0.72812,0.38398,1.37165,1.57744,1.69457,0.00127505,0.00127505,0.00127505
21,15.3151,0.5962,0.92605,1.19175,0.72859,0.72834,0.75017,0.48513,1.05176,1.55557,1.43739,0.00125442,0.00125442,0.00125442
22,16.0068,0.57901,0.95903,1.18529,0.69776,0.72479,0.74901,0.45064,1.1362,1.5715,1.67627,0.00123379,0.00123379,0.00123379
23,16.6971,0.54366,0.92024,1.15301,0.69691,0.75355,0.81129,0.42454,1.27655,1.51449,1.88491,0.00121316,0.00121316,0.00121316
24,17.392,0.53812,0.88315,1.15443,0.84981,0.76312,0.87739,0.44352,1.21288,1.66011,2.0018,0.00119253,0.00119253,0.00119253
25,18.0894,0.51514,0.90162,1.13964,0.74247,0.80277,0.85424,0.58463,1.15761,1.73697,1.9478,0.0011719,0.0011719,0.0011719
26,18.7833,0.62993,0.97,1.24972,0.89414,0.88412,0.90567,0.65509,0.98766,1.00009,1.63045,0.00115127,0.00115127,0.00115127
27,19.4737,0.54346,0.87067,1.20072,0.73992,0.89413,0.91691,0.64279,1.09837,1.16347,1.75592,0.00113064,0.00113064,0.00113064
28,20.1677,0.54635,0.8861,1.16392,0.82686,0.88643,0.92444,0.63505,1.0868,0.90929,1.83261,0.00111001,0.00111001,0.00111001
29,20.8607,0.48154,0.82624,1.13299,0.88762,0.87917,0.90047,0.63741,1.05235,0.86834,1.8159,0.00108938,0.00108938,0.00108938
30,21.5715,0.54765,0.82035,1.18509,0.83166,0.87153,0.9379,0.67675,0.93629,0.94688,1.44826,0.00106876,0.00106876,0.00106876
31,22.2739,0.58415,0.85217,1.21861,0.69349,0.85793,0.8759,0.62696,0.95308,1.24372,1.42377,0.00104813,0.00104813,0.00104813
32,23.0491,0.53699,0.83636,1.15607,0.71838,0.86908,0.88179,0.59752,1.03266,1.17172,1.42845,0.0010275,0.0010275,0.0010275
33,23.742,0.51014,0.84943,1.12427,0.77976,0.82489,0.86559,0.56795,1.19716,1.46413,1.51631,0.00100687,0.00100687,0.00100687
34,24.4442,0.50248,0.81998,1.14123,0.80803,0.86712,0.90206,0.59838,1.11523,1.18522,1.4692,0.000986239,0.000986239,0.000986239
35,25.1457,0.49396,0.81974,1.10648,0.84043,0.87011,0.89828,0.55978,1.2134,1.12111,1.51028,0.00096561,0.00096561,0.00096561
36,25.8498,0.5484,0.79234,1.16351,0.76285,0.69108,0.77648,0.46119,1.27893,1.37352,1.52448,0.000944981,0.000944981,0.000944981
37,26.5524,0.50132,0.78496,1.14411,0.79974,0.83198,0.82991,0.4818,1.43094,1.251,1.62931,0.000924352,0.000924352,0.000924352
38,27.2473,0.52093,0.75006,1.1322,0.82896,0.82501,0.86237,0.57778,1.06896,1.1011,1.29669,0.000903722,0.000903722,0.000903722
39,27.939,0.50246,0.7859,1.14197,0.84868,0.91709,0.91535,0.67051,0.88051,0.99858,1.23418,0.000883093,0.000883093,0.000883093
40,28.6315,0.48813,0.78373,1.14853,0.86535,0.83419,0.91655,0.66343,0.96391,0.90666,1.3869,0.000862464,0.000862464,0.000862464
41,29.3214,0.49448,0.7684,1.14631,0.95761,0.85105,0.93089,0.66583,1.0427,0.86832,1.50067,0.000841835,0.000841835,0.000841835
42,30.0128,0.49176,0.74513,1.13966,0.82783,0.92884,0.91108,0.66211,0.96805,0.99166,1.32685,0.000821206,0.000821206,0.000821206
43,30.7053,0.45668,0.71759,1.1017,0.93444,0.87445,0.91639,0.68155,0.9033,0.90715,1.23384,0.000800577,0.000800577,0.000800577
44,31.4055,0.49018,0.71433,1.13576,0.93499,0.91368,0.9309,0.70406,0.93543,0.70073,1.31114,0.000779948,0.000779948,0.000779948
45,32.1046,0.46256,0.70174,1.11583,0.78638,0.85104,0.91596,0.67195,0.95662,0.93987,1.39228,0.000759318,0.000759318,0.000759318
46,32.8836,0.5064,0.73002,1.12111,0.7236,0.84103,0.89199,0.6736,0.9131,1.08795,1.32382,0.000738689,0.000738689,0.000738689
47,33.5739,0.45014,0.66473,1.1137,0.9585,0.85472,0.92125,0.71523,0.84912,0.74117,1.20269,0.00071806,0.00071806,0.00071806
48,34.2742,0.44838,0.70571,1.09816,0.93282,0.90549,0.92936,0.7128,0.85407,0.73323,1.24746,0.000697431,0.000697431,0.000697431
49,34.9643,0.46945,0.69434,1.13581,0.92156,0.90158,0.95085,0.73139,0.84121,0.74963,1.25267,0.000676802,0.000676802,0.000676802
50,35.6642,0.42879,0.65394,1.10016,0.89969,0.89681,0.9549,0.73544,0.84535,0.74899,1.26865,0.000656173,0.000656173,0.000656173
51,36.366,0.44815,0.63808,1.10712,0.88086,0.89293,0.94507,0.72079,0.88276,0.71817,1.30416,0.000635544,0.000635544,0.000635544
52,37.0587,0.4476,0.65357,1.09744,0.9145,0.8661,0.94839,0.71726,0.86096,0.7065,1.26547,0.000614915,0.000614915,0.000614915
53,37.7564,0.45629,0.62747,1.12157,0.90249,0.8547,0.94805,0.72136,0.88624,0.67606,1.27498,0.000594286,0.000594286,0.000594286
54,38.4538,0.4393,0.66924,1.09688,0.92085,0.88974,0.95482,0.73113,0.843,0.69361,1.19619,0.000573656,0.000573656,0.000573656
55,39.1459,0.46991,0.6411,1.12393,0.90722,0.87002,0.92682,0.70823,0.84351,0.80727,1.16664,0.000553027,0.000553027,0.000553027
56,39.8424,0.47951,0.63765,1.13063,0.94118,0.87009,0.93155,0.71747,0.85763,0.7961,1.16179,0.000532398,0.000532398,0.000532398
57,40.5396,0.44007,0.66581,1.07796,0.93952,0.88895,0.93859,0.74084,0.82352,0.68936,1.11765,0.000511769,0.000511769,0.000511769
58,41.2404,0.4473,0.63884,1.07354,0.87996,0.93853,0.95448,0.7485,0.84356,0.68858,1.13387,0.00049114,0.00049114,0.00049114
59,42.0206,0.43983,0.6306,1.09294,0.76116,0.861,0.93294,0.68807,0.9313,0.9625,1.19389,0.000470511,0.000470511,0.000470511
60,42.7164,0.45322,0.69193,1.09979,0.74883,0.93162,0.95416,0.68878,0.98742,0.9375,1.23462,0.000449882,0.000449882,0.000449882
61,43.4089,0.45742,0.65963,1.1051,0.83089,0.93623,0.96161,0.73695,0.94398,0.76391,1.20769,0.000429253,0.000429253,0.000429253
62,44.1027,0.40528,0.61134,1.05425,0.90945,0.90427,0.94271,0.71435,0.90294,0.73407,1.20451,0.000408623,0.000408623,0.000408623
63,44.7982,0.40667,0.62234,1.06882,0.90248,0.92421,0.94334,0.72334,0.89518,0.72834,1.22197,0.000387994,0.000387994,0.000387994
64,45.4931,0.39607,0.58052,1.10426,0.88779,0.9265,0.94849,0.73772,0.88043,0.72705,1.22394,0.000367365,0.000367365,0.000367365
65,46.1882,0.428,0.62447,1.09342,0.86529,0.93006,0.95191,0.73282,0.83163,0.72345,1.18207,0.000346736,0.000346736,0.000346736
