epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.999862,1.02489,2.88444,1.50812,0.00389,1,0.04533,0.0166,1.20486,2.92958,1.57184,0.00011669,0.00011669,0.00011669
2,1.74217,0.6799,2.58118,1.33432,0.00338,1,0.43373,0.26608,0.60647,2.71417,1.05995,0.000245924,0.000245924,0.000245924
3,2.47487,0.6242,1.99081,1.29022,0.00512,1,0.47472,0.30677,1.11384,2.39254,1.60531,0.000370757,0.000370757,0.000370757
4,3.21492,0.67411,1.74985,1.29015,0.48728,0.26239,0.4318,0.22554,1.39925,2.32344,1.8832,0.00049119,0.00049119,0.00049119
5,3.94513,0.64563,1.59588,1.2624,0.50268,0.7381,0.58544,0.27704,1.70886,2.00229,2.47314,0.000607221,0.000607221,0.000607221
6,4.68735,0.63454,1.50123,1.25584,0.60756,0.66224,0.67157,0.33927,1.44462,1.87242,1.93304,0.000718852,0.000718852,0.000718852
7,5.42458,0.56849,1.26374,1.21342,0.32281,0.45467,0.35767,0.09781,2.49169,2.23367,2.82677,0.000826082,0.000826082,0.000826082
8,6.15146,0.63372,1.30558,1.26691,0.75475,0.37179,0.426,0.25756,1.64167,2.67112,2.52302,0.000928911,0.000928911,0.000928911
9,6.88202,0.61942,1.23295,1.23279,0.55799,0.69744,0.6196,0.28067,1.7697,2.17834,2.44521,0.00102734,0.00102734,0.00102734
10,7.59498,0.62074,1.21189,1.21627,0.59346,0.6669,0.73524,0.43212,1.38799,2.90388,1.95053,0.00112137,0.00112137,0.00112137
11,8.30725,0.65058,1.15784,1.21648,0.55043,0.61534,0.57902,0.31515,1.33707,2.2596,2.05284,0.00121099,0.00121099,0.00121099
12,9.00512,0.61277,1.11619,1.22929,0.43631,0.78376,0.5117,0.34849,1.08909,2.11959,2.15116,0.00129622,0.00129622,0.00129622
13,9.69857,0.62273,1.19072,1.21905,0.76474,0.51453,0.66875,0.42697,1.0854,1.67073,1.74704,0.00133693,0.00133693,0.00133693
14,10.3919,0.61051,1.05983,1.1925,0.807,0.8534,0.87652,0.58131,1.03872,1.27708,1.51862,0.00130943,0.00130943,0.00130943
15,11.0933,0.60289,0.9799,1.21856,0.71097,0.82936,0.8086,0.53369,1.08256,1.44979,1.49918,0.00128192,0.00128192,0.00128192
16,11.7974,0.55525,1.02542,1.15135,0.62467,0.78453,0.6707,0.33558,1.41051,1.59745,1.71627,0.00125442,0.00125442,0.00125442
17,12.4923,0.59409,0.97147,1.17024,0.53451,0.74362,0.71172,0.45917,1.19721,1.56748,1.62673,0.00122691,0.00122691,0.00122691
18,13.2828,0.54296,0.96727,1.17046,0.56658,0.76752,0.68161,0.45282,0.97359,1.49738,1.53233,0.00119941,0.00119941,0.00119941
19,13.9749,0.60437,1.07486,1.20546,0.80753,0.7025,0.73806,0.45799,1.08982,1.60658,1.40496,0.0011719,0.0011719,0.0011719
20,14.6649,0.57113,0.98293,1.18146,0.59487,0.6397,0.61756,0.42686,0.94532,2.18004,1.50487,0.0011444,0.0011444,0.0011444
21,15.3528,0.57711,0.94918,1.18024,0.56286,0.53162,0.30338,0.20517,0.92777,3.39098,1.7175,0.00111689,0.00111689,0.00111689
22,16.0407,0.56959,0.9824,1.18408,0.70014,0.51962,0.38275,0.25378,0.93732,2.53014,1.58196,0.00108938,0.00108938,0.00108938
23,16.7263,0.53338,0.9366,1.14181,0.52317,0.64058,0.50696,0.34107,0.96703,2.13475,1.49601,0.00106188,0.00106188,0.00106188
24,17.4171,0.54824,0.91503,1.15271,0.79256,0.74618,0.82235,0.59167,0.94503,1.3084,1.32516,0.00103437,0.00103437,0.00103437
25,18.1151,0.52841,0.89977,1.15018,0.63365,0.76496,0.7813,0.55769,0.99742,1.52002,1.35589,0.00100687,0.00100687,0.00100687
26,18.8049,0.6188,1.00369,1.22978,0.6974,0.80839,0.8167,0.55507,1.06767,1.32086,1.37914,0.000979362,0.000979362,0.000979362
27,19.498,0.57096,0.93727,1.2007,0.53244,0.54528,0.55045,0.27506,1.85741,1.9255,1.91355,0.000951857,0.000951857,0.000951857
28,20.1888,0.52795,0.91077,1.14421,0.69503,0.73932,0.75843,0.42977,1.2462,1.71668,1.54389,0.000924352,0.000924352,0.000924352
29,20.8814,0.50648,0.86994,1.14381,0.80934,0.84359,0.87287,0.61613,0.95157,1.18,1.39537,0.000896846,0.000896846,0.000896846
30,21.5781,0.54619,0.83752,1.19242,0.73785,0.61954,0.67911,0.48984,1.04586,1.77058,1.57951,0.00086934,0.00086934,0.00086934
31,22.267,0.57228,0.89155,1.21408,0.75708,0.79538,0.78844,0.55087,1.03286,1.33739,1.40377,0.000841835,0.000841835,0.000841835
32,23.037,0.53648,0.88119,1.16007,0.82021,0.84539,0.87896,0.57062,1.13226,1.14693,1.43139,0.000814329,0.000814329,0.000814329
33,23.7262,0.50742,0.79294,1.12879,0.61122,0.81538,0.83954,0.4745,1.14427,1.3405,1.46067,0.000786824,0.000786824,0.000786824
34,24.4175,0.47814,0.814,1.13211,0.77207,0.8188,0.88822,0.62989,0.9418,1.19156,1.39536,0.000759318,0.000759318,0.000759318
35,25.1139,0.50583,0.77782,1.10185,0.91591,0.89747,0.92859,0.6705,0.95221,0.92577,1.35424,0.000731813,0.000731813,0.000731813
36,25.8118,0.51231,0.75398,1.13685,0.92325,0.81453,0.91974,0.67025,0.93036,0.92827,1.35141,0.000704307,0.000704307,0.000704307
37,26.4999,0.45931,0.76629,1.11976,0.9165,0.85391,0.92098,0.66253,0.98189,0.83547,1.52034,0.000676802,0.000676802,0.000676802
38,27.1901,0.48529,0.74891,1.12054,0.90458,0.90601,0.94051,0.65665,1.00529,0.85486,1.56344,0.000649297,0.000649297,0.000649297
39,27.879,0.50462,0.78204,1.1537,0.85838,0.89419,0.93194,0.66031,0.91553,1.05615,1.42636,0.000621791,0.000621791,0.000621791
40,28.5702,0.50042,0.77483,1.15665,0.83603,0.85556,0.94125,0.67991,0.87658,1.24019,1.33834,0.000594286,0.000594286,0.000594286
41,29.2684,0.4595,0.72587,1.13938,0.87829,0.89055,0.95117,0.69719,0.90615,1.01314,1.34915,0.00056678,0.00056678,0.00056678
42,29.9675,0.49278,0.72031,1.1244,0.91657,0.94306,0.95666,0.73354,0.90998,0.82711,1.25374,0.000539275,0.000539275,0.000539275
43,30.6639,0.44256,0.73655,1.09842,0.8888,0.87086,0.94403,0.72391,0.83564,1.02997,1.126,0.000511769,0.000511769,0.000511769
44,31.3531,0.47349,0.71082,1.12206,0.89677,0.81453,0.93748,0.73085,0.78735,1.01702,1.10575,0.000484263,0.000484263,0.000484263
45,32.0429,0.45725,0.72293,1.09902,0.92792,0.89017,0.96407,0.73884,0.82996,0.76264,1.18097,0.000456758,0.000456758,0.000456758
46,32.8196,0.49039,0.70278,1.10883,0.94822,0.86867,0.96064,0.72991,0.86553,0.71098,1.23502,0.000429253,0.000429253,0.000429253
47,33.5091,0.40788,0.64758,1.08738,0.95476,0.84969,0.9592,0.73591,0.82958,0.70881,1.1661,0.000401747,0.000401747,0.000401747
48,34.2026,0.42136,0.67603,1.08111,0.92907,0.88034,0.95949,0.69966,0.88346,0.78291,1.19198,0.000374242,0.000374242,0.000374242
49,34.894,0.42781,0.67462,1.12038,0.94816,0.84422,0.93745,0.66481,0.9407,0.80023,1.26266,0.000346736,0.000346736,0.000346736
50,35.5857,0.39103,0.63638,1.079,0.93396,0.90256,0.95963,0.71143,0.8764,0.71884,1.23913,0.000319231,0.000319231,0.000319231
51,36.5525,0.5248,1.15643,1.30054,0.97235,0.87766,0.95758,0.73313,0.82973,0.71794,1.21456,0.000291725,0.000291725,0.000291725
52,37.2526,0.41587,0.79381,1.2332,0.86252,0.90769,0.93095,0.71443,0.89871,0.79001,1.31059,0.00026422,0.00026422,0.00026422
53,37.9424,0.37705,0.75626,1.20292,0.84389,0.83499,0.91511,0.67483,0.9508,0.96216,1.41764,0.000236714,0.000236714,0.000236714
54,38.6373,0.36795,0.75485,1.16854,0.78443,0.84739,0.90565,0.68207,0.94137,1.1033,1.42085,0.000209209,0.000209209,0.000209209
55,39.3248,0.379,0.77267,1.18057,0.79827,0.87149,0.9321,0.70602,0.89233,1.01942,1.30615,0.000181703,0.000181703,0.000181703
56,40.0179,0.387,0.80037,1.18318,0.84272,0.92212,0.94651,0.751,0.80626,0.84556,1.17185,0.000154198,0.000154198,0.000154198
57,40.7182,0.32421,0.65565,1.14299,0.89183,0.90266,0.95963,0.7789,0.75645,0.75778,1.10829,0.000126692,0.000126692,0.000126692
58,41.4199,0.35611,0.63714,1.13782,0.90704,0.93932,0.9644,0.78271,0.7696,0.74178,1.10218,9.91865e-05,9.91865e-05,9.91865e-05
59,42.1235,0.33467,0.64769,1.08534,0.91874,0.93647,0.96769,0.7755,0.78922,0.73988,1.11652,7.1681e-05,7.1681e-05,7.1681e-05
60,42.9138,0.3653,0.61846,1.13778,0.88593,0.96364,0.96786,0.77337,0.79209,0.7285,1.11498,4.41755e-05,4.41755e-05,4.41755e-05
