epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.05674,1.86723,3.54275,2.16108,0.1025,0.04273,0.01023,0.00137,4.21252,9.28077,4.26529,0.0001667,0.0001667,0.0001667
2,10.7139,1.79842,2.65322,2.00252,0,0,0,0,nan,nan,nan,0.000345993,0.000345993,0.000345993
3,16.2989,1.78153,2.49648,1.97695,0,0,0,0,nan,nan,nan,0.000521014,0.000521014,0.000521014
4,21.8639,1.80891,2.38678,2.01787,0,0,0,0,nan,nan,nan,0.000691764,0.000691764,0.000691764
5,27.4076,1.87647,2.32816,2.08216,0,0,0,0,nan,nan,nan,0.000858242,0.000858242,0.000858242
6,32.9581,1.75734,2.33631,2.01992,0,0,0,0,nan,nan,nan,0.00102045,0.00102045,0.00102045
7,38.5366,1.7177,2.41686,1.9188,0,0,0,0,nan,nan,nan,0.00117838,0.00117838,0.00117838
8,44.2016,1.73307,2.45876,1.99902,0,0,0,0,nan,nan,nan,0.00133205,0.00133205,0.00133205
9,49.7851,1.71395,2.34061,1.94488,0,0,0,0,nan,nan,nan,0.00148144,0.00148144,0.00148144
10,55.4227,1.67354,2.2241,1.9383,0,0,0,0,nan,nan,nan,0.00149226,0.00149226,0.00149226
11,61.0185,1.65542,2.16216,1.88767,0,0,0,0,nan,nan,nan,0.00147284,0.00147284,0.00147284
12,66.6429,1.59258,2.18843,1.84818,0,0,0,0,nan,nan,nan,0.00145343,0.00145343,0.00145343
13,72.2605,1.48457,2.07214,1.75789,0.2729,0.04,0.03292,0.0045,nan,nan,nan,0.00143401,0.00143401,0.00143401
14,78.0483,1.5061,2.06758,1.78293,0,0,0,0,nan,nan,nan,0.0014146,0.0014146,0.0014146
15,83.8882,1.55102,1.92861,1.75547,0.01723,0.21636,0.00433,0.00165,nan,nan,nan,0.00139518,0.00139518,0.00139518
16,89.5483,1.43843,1.97359,1.72395,0.0509,0.25364,0.03077,0.0089,nan,nan,nan,0.00137577,0.00137577,0.00137577
17,95.3494,1.54754,1.93117,1.81421,0.18387,0.14273,0.06967,0.03362,nan,nan,nan,0.00135635,0.00135635,0.00135635
18,101.278,1.42345,1.8303,1.71994,0.21061,0.37685,0.21887,0.09202,nan,nan,nan,0.00133693,0.00133693,0.00133693
19,107.077,1.53781,1.89857,1.82485,0.17357,0.14,0.09758,0.04075,nan,nan,nan,0.00131752,0.00131752,0.00131752
20,112.741,1.5737,1.94209,1.80548,0,0,0,0,nan,nan,nan,0.0012981,0.0012981,0.0012981
21,118.375,1.48945,1.90282,1.72995,0,0,0,0,nan,nan,nan,0.00127869,0.00127869,0.00127869
22,124.027,1.47209,1.99352,1.7288,0.08531,0.13091,0.02042,0.0057,3.55337,7.15862,4.08059,0.00125927,0.00125927,0.00125927
23,129.683,1.46549,1.86366,1.75447,0.10244,0.41598,0.02184,0.00769,2.76873,9.58745,4.15161,0.00123986,0.00123986,0.00123986
24,135.355,1.36916,1.7807,1.66493,0.53253,0.15909,0.02306,0.00683,3.39508,8.09044,4.33592,0.00122044,0.00122044,0.00122044
25,141.028,1.4538,1.81424,1.70517,0.28891,0.30182,0.22977,0.08498,2.20228,5.82075,2.96627,0.00120102,0.00120102,0.00120102
26,146.696,1.45731,1.79994,1.66264,0.45806,0.28273,0.30252,0.10263,2.47251,2.36191,2.71471,0.00118161,0.00118161,0.00118161
27,152.53,1.45934,1.88028,1.71621,0.2542,0.25954,0.21424,0.05779,2.45037,2.56317,2.76401,0.00116219,0.00116219,0.00116219
28,158.205,1.42061,1.77925,1.66702,0.41798,0.43289,0.30562,0.15708,2.03977,2.97948,2.49204,0.00114278,0.00114278,0.00114278
29,164.046,1.34777,1.74786,1.65783,0.37679,0.38972,0.35023,0.17256,2.10788,2.24115,2.53548,0.00112336,0.00112336,0.00112336
30,169.867,1.37034,1.74571,1.68789,0.43224,0.50364,0.26873,0.09782,2.36027,3.03281,2.82202,0.00110395,0.00110395,0.00110395
31,175.532,1.41185,1.76416,1.65387,0.6391,0.15909,0.17592,0.05479,2.36059,5.15342,2.93411,0.00108453,0.00108453,0.00108453
32,181.203,1.38558,1.75354,1.59462,0.2282,0.17207,0.215,0.05798,2.43766,3.69253,3.03863,0.00106511,0.00106511,0.00106511
33,186.885,1.43076,1.79615,1.6708,0.25739,0.2526,0.3028,0.10732,2.40388,3.30922,2.83317,0.0010457,0.0010457,0.0010457
34,192.599,1.35623,1.78988,1.633,0.17298,0.26216,0.17968,0.06073,2.41298,4.56237,2.7588,0.00102628,0.00102628,0.00102628
35,198.274,1.40027,1.68444,1.61499,0.3711,0.52964,0.33593,0.11662,2.27022,3.61621,2.68007,0.00100687,0.00100687,0.00100687
36,203.947,1.24995,1.6103,1.52913,0.30698,0.44727,0.27904,0.09479,2.11269,2.7091,2.52098,0.000987452,0.000987452,0.000987452
37,209.635,1.35341,1.65864,1.61056,0.39789,0.35909,0.34841,0.12913,1.96463,2.38758,2.37353,0.000968037,0.000968037,0.000968037
38,215.313,1.36279,1.66349,1.59781,0.56111,0.50727,0.54728,0.26105,1.82279,2.09365,2.32155,0.000948621,0.000948621,0.000948621
39,221.148,1.24399,1.61082,1.52452,0.41354,0.53636,0.50469,0.2341,1.9055,2.19166,2.27093,0.000929205,0.000929205,0.000929205
40,226.819,1.2617,1.58301,1.53132,0.7,0.28001,0.20379,0.09238,2.61498,3.55206,3.71129,0.00090979,0.00090979,0.00090979
41,232.485,1.27532,1.57546,1.52861,0.78593,0.42,0.34282,0.17951,2.47423,2.72484,3.66212,0.000890374,0.000890374,0.000890374
42,238.165,1.2287,1.47805,1.51304,0.57501,0.65,0.57096,0.28308,1.8367,1.69311,2.22717,0.000870958,0.000870958,0.000870958
43,243.976,1.29627,1.56833,1.55413,0.57051,0.62916,0.60608,0.32604,nan,nan,nan,0.000851543,0.000851543,0.000851543
44,249.819,1.28781,1.538,1.50752,0.69034,0.15909,0.25262,0.06238,2.39134,3.59099,2.46024,0.000832127,0.000832127,0.000832127
45,255.481,1.20678,1.47744,1.48406,0.55702,0.34278,0.39859,0.14284,2.22773,2.66981,2.4102,0.000812712,0.000812712,0.000812712
46,260.965,1.27326,1.49694,1.53326,0.56057,0.71777,0.58967,0.26524,1.74543,1.86188,2.09327,0.000793296,0.000793296,0.000793296
47,266.456,1.2096,1.55138,1.49522,0.3533,0.49953,0.36834,0.20469,1.83037,2.30365,2.25548,0.00077388,0.00077388,0.00077388
48,272.106,1.19306,1.4443,1.50421,0.61181,0.27,0.22118,0.09737,2.47134,3.20274,2.66189,0.000754465,0.000754465,0.000754465
49,277.746,1.24285,1.51709,1.50479,0.50527,0.42297,0.44278,0.19702,1.9668,2.22997,2.30172,0.000735049,0.000735049,0.000735049
50,283.211,1.1599,1.46164,1.46073,0.6429,0.75818,0.73219,0.28638,1.65065,1.66863,1.95923,0.000715633,0.000715633,0.000715633
51,288.664,1.13518,1.41022,1.44265,0.74123,0.72882,0.72042,0.33328,1.67824,1.63732,2.02072,0.000696218,0.000696218,0.000696218
52,294.304,1.13861,1.44913,1.47615,0.73708,0.73273,0.7217,0.36776,1.49295,1.48703,1.84086,0.000676802,0.000676802,0.000676802
53,299.924,1.11602,1.31734,1.41373,0.74873,0.6094,0.65447,0.36205,1.48133,1.54121,1.88829,0.000657386,0.000657386,0.000657386
54,305.38,1.17368,1.48594,1.50111,0.53414,0.63909,0.57179,0.30342,1.6441,1.82903,2.19904,0.000637971,0.000637971,0.000637971
55,310.848,1.15442,1.40104,1.43225,0.73906,0.72727,0.7478,0.40671,1.52958,1.26997,1.92701,0.000618555,0.000618555,0.000618555
56,316.511,1.15965,1.3601,1.43931,0.69636,0.80364,0.79227,0.44585,1.50873,1.27984,1.79616,0.000599139,0.000599139,0.000599139
57,322.381,1.13935,1.34725,1.41977,0.68228,0.72909,0.75002,0.41232,1.58969,1.29325,1.91624,0.000579724,0.000579724,0.000579724
