epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.14136,1.37578,2.97422,1.73114,0.00405,0.94318,0.1405,0.04688,1.99302,3.02419,2.33171,0.00025005,0.00025005,0.00025005
2,3.78852,1.19878,2.55411,1.50736,0.00393,0.95455,0.36546,0.1797,1.39996,2.7691,1.77657,0.000509461,0.000509461,0.000509461
3,5.43376,1.30865,2.14447,1.56802,0.16973,0.18182,0.11943,0.04399,2.20211,3.04584,3.17416,0.000761328,0.000761328,0.000761328
4,7.04882,1.35048,1.99375,1.64374,0.16794,0.46591,0.14556,0.05542,1.88403,2.69941,3.05448,0.00100565,0.00100565,0.00100565
5,8.71764,1.30539,1.84191,1.59975,0.30919,0.40909,0.29482,0.11599,1.97961,3.51497,3.38186,0.00124243,0.00124243,0.00124243
6,10.3224,1.30499,1.72476,1.57068,0.21696,0.44963,0.21215,0.07444,2.31657,2.92073,3.55454,0.00147166,0.00147166,0.00147166
7,11.9129,1.34111,1.73226,1.58851,0.26412,0.42045,0.21531,0.0786,1.88869,3.14114,2.76284,0.00152554,0.00152554,0.00152554
8,13.5045,1.30834,1.66824,1.54656,0.29704,0.26136,0.23995,0.06935,2.15416,3.53863,2.87766,0.00150197,0.00150197,0.00150197
9,15.0781,1.28691,1.60612,1.53052,0.36923,0.45455,0.29484,0.13637,1.91824,2.80553,2.37868,0.00147839,0.00147839,0.00147839
10,16.6557,1.23731,1.54711,1.50069,0.21871,0.56818,0.29203,0.10856,1.98309,2.68313,2.53488,0.00145481,0.00145481,0.00145481
11,18.2321,1.22477,1.44212,1.48533,0.27286,0.18182,0.09018,0.03467,2.42837,5.02808,2.67046,0.00143124,0.00143124,0.00143124
12,19.8959,1.18138,1.48077,1.44302,0.04811,0.03409,0.00664,0.00218,4.57325,3.41631,4.08497,0.00140766,0.00140766,0.00140766
13,21.4728,1.25127,1.52228,1.47632,0.40833,0.33366,0.2134,0.06379,2.44436,2.62985,2.49883,0.00138409,0.00138409,0.00138409
14,23.0567,1.25931,1.45115,1.49418,0.42449,0.45455,0.4135,0.15008,2.14166,2.58148,2.41361,0.00136051,0.00136051,0.00136051
15,24.6326,1.15629,1.40038,1.43926,0.46166,0.63636,0.56677,0.31059,1.52379,1.96901,1.99475,0.00133693,0.00133693,0.00133693
16,26.2211,1.14942,1.40944,1.43641,0.43626,0.62453,0.50265,0.26473,1.50351,1.83066,1.85437,0.00131336,0.00131336,0.00131336
17,27.8536,1.13325,1.31091,1.40136,0.58978,0.40909,0.54432,0.28155,1.7311,1.82956,2.15187,0.00128978,0.00128978,0.00128978
18,29.4376,1.19131,1.30822,1.45405,0.5462,0.72371,0.64249,0.33089,1.58444,1.66643,1.91785,0.00126621,0.00126621,0.00126621
19,31.0284,1.18929,1.2689,1.44153,0.50411,0.65909,0.56786,0.24432,1.82887,1.75347,2.12404,0.00124263,0.00124263,0.00124263
20,32.6025,1.13581,1.25275,1.39823,0.70746,0.72727,0.71995,0.36172,1.56086,1.55604,1.73694,0.00121905,0.00121905,0.00121905
21,34.1878,1.23467,1.35069,1.48903,0.7206,0.60614,0.63937,0.34981,1.53692,1.74358,1.75987,0.00119548,0.00119548,0.00119548
22,35.7711,1.15592,1.25752,1.40784,0.5067,0.76459,0.69606,0.37902,1.41915,1.38763,1.74096,0.0011719,0.0011719,0.0011719
23,37.4363,1.15181,1.2637,1.43599,0.70465,0.82955,0.75644,0.4478,1.31032,1.25819,1.55382,0.00114832,0.00114832,0.00114832
24,39.0313,1.06364,1.19216,1.37329,0.76296,0.64773,0.68664,0.41001,1.34318,1.41387,1.62279,0.00112475,0.00112475,0.00112475
25,40.6132,1.03866,1.17813,1.38712,0.80975,0.875,0.83946,0.52045,1.22422,0.98237,1.46673,0.00110117,0.00110117,0.00110117
26,42.208,1.02736,1.13972,1.31865,0.69647,0.74503,0.77146,0.45772,1.41329,1.26907,1.65845,0.0010776,0.0010776,0.0010776
27,43.798,1.04837,1.15429,1.34475,0.76062,0.76892,0.82202,0.51186,1.21196,1.08902,1.48914,0.00105402,0.00105402,0.00105402
28,45.4867,1.09016,1.12466,1.39877,0.61234,0.73864,0.67393,0.40612,1.43545,1.48272,1.65085,0.00103044,0.00103044,0.00103044
29,47.1058,1.03364,1.11426,1.34273,0.6408,0.70455,0.64249,0.42277,1.30777,1.24915,1.67942,0.00100687,0.00100687,0.00100687
30,48.7354,1.01464,1.05862,1.31903,0.75675,0.80854,0.82565,0.49749,1.30218,1.12368,1.6101,0.000983292,0.000983292,0.000983292
31,50.3427,1.06448,1.14749,1.37675,0.76135,0.73307,0.72263,0.4269,1.35565,1.31416,1.58982,0.000959716,0.000959716,0.000959716
32,51.9545,1.02314,1.02886,1.35247,0.76239,0.76136,0.73558,0.41522,1.30135,1.2913,1.59052,0.00093614,0.00093614,0.00093614
33,53.5701,1.04639,1.06025,1.32466,0.85127,0.78409,0.86108,0.52815,1.23808,1.13422,1.47142,0.000912563,0.000912563,0.000912563
34,55.2749,1.01567,1.05517,1.32598,0.79495,0.85758,0.85741,0.52825,1.15583,0.95639,1.37082,0.000888987,0.000888987,0.000888987
35,56.896,1.02697,1.00465,1.34279,0.87154,0.73864,0.82387,0.48542,1.36826,1.13674,1.5172,0.000865411,0.000865411,0.000865411
36,58.5134,1.03243,1.01027,1.33704,0.7823,0.75,0.8041,0.49584,1.26405,1.15748,1.5229,0.000841835,0.000841835,0.000841835
37,60.1184,1.03422,1.02392,1.35552,0.82232,0.87156,0.87798,0.55609,1.21443,0.93158,1.48085,0.000818259,0.000818259,0.000818259
38,61.7421,0.99709,0.99546,1.31599,0.82447,0.85035,0.88252,0.58429,1.18192,0.91979,1.46111,0.000794683,0.000794683,0.000794683
39,63.3494,1.01828,1.02832,1.33338,0.76591,0.81818,0.80989,0.5318,1.20718,1.0408,1.48385,0.000771107,0.000771107,0.000771107
40,65.0375,0.96408,0.93574,1.29349,0.86225,0.81818,0.88197,0.57862,1.13582,0.85876,1.44345,0.00074753,0.00074753,0.00074753
41,66.654,1.01056,1.00058,1.3135,0.80319,0.80682,0.86125,0.55324,1.24319,1.09146,1.41441,0.000723954,0.000723954,0.000723954
42,68.2749,0.95508,0.95602,1.28163,0.73033,0.86364,0.85456,0.58578,1.06173,0.9014,1.356,0.000700378,0.000700378,0.000700378
43,69.8934,0.96576,0.93247,1.28908,0.8181,0.91621,0.90891,0.58685,1.07974,0.8522,1.35204,0.000676802,0.000676802,0.000676802
44,71.5176,0.93877,0.90121,1.26782,0.86792,0.85055,0.89988,0.58171,1.08562,0.83909,1.35833,0.000653226,0.000653226,0.000653226
45,73.2266,1.0027,0.96328,1.33523,0.91202,0.86364,0.92319,0.60995,1.09677,0.78577,1.38272,0.00062965,0.00062965,0.00062965
46,74.8556,1.00895,0.90711,1.29892,0.85706,0.83174,0.92597,0.61486,1.13046,0.80166,1.38512,0.000606074,0.000606074,0.000606074
47,76.4856,0.9394,0.89499,1.26321,0.87603,0.88636,0.90532,0.58371,1.14154,0.86142,1.42697,0.000582497,0.000582497,0.000582497
48,78.1044,0.9442,0.87588,1.29469,0.85875,0.86364,0.90264,0.61122,1.08223,0.90056,1.37814,0.000558921,0.000558921,0.000558921
49,79.7423,0.94683,0.89233,1.26538,0.92423,0.875,0.91569,0.60235,1.11139,0.85063,1.3743,0.000535345,0.000535345,0.000535345
50,81.4531,0.92953,0.90946,1.26173,0.89923,0.89773,0.92273,0.61249,1.09202,0.78815,1.34317,0.000511769,0.000511769,0.000511769
51,83.0848,0.91495,0.91456,1.2567,0.91652,0.89773,0.94066,0.64332,1.0672,0.78473,1.32882,0.000488193,0.000488193,0.000488193
