epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8297,1.76984,3.17062,2.13619,0,0,0,0,nan,nan,nan,0.00025005,0.00025005,0.00025005
2,21.6918,1.88824,2.61502,2.16411,0,0,0,0,nan,nan,nan,0.000509461,0.000509461,0.000509461
3,33.3783,1.85591,2.29837,2.06303,0,0,0,0,nan,nan,nan,0.000761328,0.000761328,0.000761328
4,44.3801,1.72106,2.24831,2.00404,0,0,0,0,nan,nan,nan,0.00100565,0.00100565,0.00100565
5,55.7776,1.67692,2.11541,1.94639,0,0,0,0,nan,nan,nan,0.00124243,0.00124243,0.00124243
6,66.7693,1.72949,2.08111,1.94581,0,0,0,0,nan,nan,nan,0.00147166,0.00147166,0.00147166
7,78.2492,1.73307,2.10201,1.92754,0.00176,0.01136,0.00017,3e-05,nan,nan,nan,0.00152554,0.00152554,0.00152554
8,89.335,1.60373,1.91989,1.86498,0,0,0,0,nan,nan,nan,0.00150197,0.00150197,0.00150197
9,100.857,1.56035,1.92377,1.79878,0.50829,0.11364,0.00491,0.00113,nan,nan,nan,0.00147839,0.00147839,0.00147839
10,111.73,1.48674,1.85724,1.77829,0.14193,0.27273,0.09561,0.02449,3.12413,6.80944,4.67815,0.00145481,0.00145481,0.00145481
11,123.531,1.52455,1.83086,1.79399,0.08139,0.17045,0.05192,0.02085,2.69788,9.02573,3.48609,0.00143124,0.00143124,0.00143124
12,134.19,1.49729,1.88408,1.76343,0.17037,0.26136,0.08113,0.02485,2.69138,14.6354,3.70889,0.00140766,0.00140766,0.00140766
13,145.62,1.50853,1.81946,1.75128,0.11407,0.18182,0.09391,0.04013,2.34797,4.47311,3.25001,0.00138409,0.00138409,0.00138409
14,156.535,1.51669,1.74687,1.74575,0.00119,0.125,0.00071,0.00015,4.98621,7.87374,6.33841,0.00136051,0.00136051,0.00136051
15,168.004,1.36786,1.69473,1.67155,0.01013,0.03409,0.00757,0.00245,3.26271,6.19456,3.72412,0.00133693,0.00133693,0.00133693
16,178.758,1.36994,1.71485,1.66336,0.344,0.38636,0.27345,0.12572,2.20474,3.99448,2.75145,0.00131336,0.00131336,0.00131336
17,190.406,1.37793,1.59891,1.64979,0.47092,0.25,0.26379,0.10258,2.06209,4.6917,2.73295,0.00128978,0.00128978,0.00128978
18,201.157,1.37184,1.57602,1.63969,0.57229,0.10227,0.0809,0.03018,nan,nan,nan,0.00126621,0.00126621,0.00126621
19,212.614,1.4066,1.59813,1.66061,0.39485,0.48319,0.39794,0.18029,1.76272,2.96346,2.18602,0.00124263,0.00124263,0.00124263
20,223.551,1.32787,1.61772,1.61748,0.39484,0.58825,0.38652,0.20624,1.89898,5.83279,2.39815,0.00121905,0.00121905,0.00121905
21,235.169,1.35123,1.68489,1.65413,0.51277,0.54141,0.45981,0.20739,1.83201,2.61659,2.21822,0.00119548,0.00119548,0.00119548
22,246.095,1.39559,1.65146,1.65153,0.28638,0.47727,0.27392,0.15229,2.43691,2.35196,3.89301,0.0011719,0.0011719,0.0011719
23,257.541,1.40908,1.59988,1.68881,0.52571,0.41952,0.40687,0.1492,2.5521,2.3761,2.92852,0.00114832,0.00114832,0.00114832
