epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.59419,1.54978,3.02367,1.93625,0.06736,0.375,0.04603,0.01842,2.67463,22.3392,3.47489,0.00025005,0.00025005,0.00025005
2,8.97147,1.575,2.24927,1.82669,0,0,0,0,nan,nan,nan,0.000509461,0.000509461,0.000509461
3,13.348,1.66138,1.98507,1.85957,0,0,0,0,nan,nan,nan,0.000761328,0.000761328,0.000761328
4,17.7155,1.66801,1.98867,1.90076,0,0,0,0,nan,nan,nan,0.00100565,0.00100565,0.00100565
5,22.1673,1.59047,1.92325,1.81372,0,0,0,0,nan,nan,nan,0.00124243,0.00124243,0.00124243
6,26.5547,1.54615,1.90939,1.7784,0,0,0,0,nan,nan,nan,0.00147166,0.00147166,0.00147166
7,31.0162,1.5598,1.71142,1.7474,0.00272,0.01136,0.00261,0.00099,nan,nan,nan,0.00152554,0.00152554,0.00152554
8,35.4888,1.49071,1.68868,1.72492,0.00424,0.375,0.00405,0.002,2.93884,278.296,9.13586,0.00150197,0.00150197,0.00150197
9,39.9792,1.4706,1.74004,1.68438,0.11457,0.25,0.06361,0.01956,2.86899,107.248,4.63241,0.00147839,0.00147839,0.00147839
10,44.6333,1.43644,1.67463,1.67233,0.18038,0.11364,0.02765,0.00747,3.84011,87.7516,6.05804,0.00145481,0.00145481,0.00145481
11,49.1316,1.43581,1.62135,1.64714,0.22002,0.31818,0.08036,0.02374,2.94771,64.4343,4.59942,0.00143124,0.00143124,0.00143124
12,53.6929,1.41413,1.60704,1.65558,0.39236,0.35227,0.18688,0.07679,2.55596,10.1377,3.14941,0.00140766,0.00140766,0.00140766
13,58.2601,1.48387,1.67692,1.66328,0.35037,0.40909,0.26278,0.12041,2.51527,10.2883,3.25832,0.00138409,0.00138409,0.00138409
14,62.8327,1.46402,1.60219,1.63936,0.31785,0.28409,0.32084,0.16846,2.07724,3.39912,2.62655,0.00136051,0.00136051,0.00136051
15,67.4022,1.32914,1.56379,1.59212,0.82614,0.31818,0.34722,0.1787,2.22791,2.45301,2.75357,0.00133693,0.00133693,0.00133693
16,72.088,1.30242,1.52524,1.55542,0.31687,0.36364,0.28698,0.17179,2.14973,3.22255,2.95186,0.00131336,0.00131336,0.00131336
17,76.6163,1.33636,1.45464,1.54547,0.78631,0.34091,0.36352,0.19032,2.18867,3.7319,3.09913,0.00128978,0.00128978,0.00128978
18,81.2057,1.29947,1.41545,1.54772,0.53993,0.40909,0.34582,0.1445,2.15369,5.36455,2.49555,0.00126621,0.00126621,0.00126621
19,85.7329,1.33134,1.47571,1.55498,0.38314,0.52565,0.40823,0.18565,2.03373,2.70957,2.22928,0.00124263,0.00124263,0.00124263
20,90.4085,1.34415,1.51182,1.56365,0.40318,0.37839,0.29984,0.12724,2.36326,3.07737,2.58077,0.00121905,0.00121905,0.00121905
21,94.938,1.32383,1.51338,1.5576,0.35169,0.60227,0.38334,0.18419,1.87418,2.66082,2.10007,0.00119548,0.00119548,0.00119548
22,99.4777,1.28713,1.44985,1.52021,0.56222,0.67459,0.62325,0.35962,1.60162,1.93775,1.87985,0.0011719,0.0011719,0.0011719
23,104.071,1.30595,1.43396,1.56025,0.55217,0.50042,0.495,0.26977,1.65445,2.23884,2.0097,0.00114832,0.00114832,0.00114832
24,108.623,1.25059,1.39453,1.50125,0.49788,0.15909,0.18859,0.09056,2.3795,3.07642,2.68364,0.00112475,0.00112475,0.00112475
25,113.236,1.27675,1.39447,1.53483,0.42444,0.64773,0.53417,0.3148,1.664,1.90424,1.91281,0.00110117,0.00110117,0.00110117
26,117.778,1.18195,1.32093,1.44252,0.41381,0.59597,0.43904,0.26446,1.82282,2.06796,2.14674,0.0010776,0.0010776,0.0010776
27,122.321,1.18163,1.29561,1.46182,0.79361,0.61364,0.71596,0.37913,1.56858,1.4966,1.84242,0.00105402,0.00105402,0.00105402
28,126.925,1.17324,1.28772,1.49077,0.50239,0.62191,0.55366,0.31497,1.87241,1.76839,2.28957,0.00103044,0.00103044,0.00103044
29,131.476,1.19844,1.21019,1.48032,0.5996,0.65666,0.62611,0.33187,1.9114,1.82897,2.27444,0.00100687,0.00100687,0.00100687
30,136.035,1.21956,1.30201,1.46416,0.5374,0.55772,0.56936,0.31036,2.18271,1.71406,2.66565,0.000983292,0.000983292,0.000983292
31,140.657,1.22382,1.30763,1.50831,0.59697,0.59091,0.55627,0.29962,1.67799,1.59744,2.01583,0.000959716,0.000959716,0.000959716
32,145.215,1.15331,1.18054,1.4334,0.70595,0.65416,0.70303,0.36683,1.59868,1.69935,1.80579,0.00093614,0.00093614,0.00093614
33,149.769,1.14501,1.20876,1.40114,0.65875,0.67045,0.67881,0.34939,1.79285,1.66429,2.00893,0.000912563,0.000912563,0.000912563
34,154.32,1.2,1.27511,1.45462,0.71489,0.67045,0.72614,0.37043,1.75425,1.41398,1.94956,0.000888987,0.000888987,0.000888987
35,158.872,1.14283,1.15306,1.45064,0.67426,0.68684,0.71172,0.34203,1.77876,1.51105,1.9432,0.000865411,0.000865411,0.000865411
36,163.522,1.17534,1.23385,1.45422,0.64913,0.46739,0.60013,0.32817,1.60763,1.86703,1.79423,0.000841835,0.000841835,0.000841835
37,168.074,1.21412,1.26065,1.47675,0.64088,0.74369,0.7108,0.41206,1.40088,1.35245,1.60723,0.000818259,0.000818259,0.000818259
38,172.689,1.12154,1.19781,1.41586,0.76434,0.62532,0.66825,0.32722,1.79006,1.98227,1.98323,0.000794683,0.000794683,0.000794683
39,177.25,1.16944,1.2554,1.43258,0.77582,0.74654,0.77977,0.44737,1.46648,1.20986,1.68221,0.000771107,0.000771107,0.000771107
40,181.869,1.12008,1.14264,1.40895,0.72359,0.70272,0.75999,0.48264,1.30379,1.22108,1.54111,0.00074753,0.00074753,0.00074753
