epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.15371,1.01892,2.89312,1.51126,0.00365,1,0.02484,0.00942,1.25254,2.92963,1.76501,0.00011669,0.00011669,0.00011669
2,1.98177,0.58064,2.69884,1.26485,0.00379,0.98889,0.31833,0.19666,0.671,2.83347,1.2668,0.000243861,0.000243861,0.000243861
3,2.77786,0.52963,2.52427,1.20622,0.00398,0.98718,0.46761,0.32574,0.7338,2.82922,1.37246,0.000364431,0.000364431,0.000364431
4,3.57581,0.551,2.34917,1.21871,0.0037,1,0.49864,0.31854,0.75173,2.73394,1.34816,0.0004784,0.0004784,0.0004784
5,4.37049,0.58975,2.0848,1.23256,0.00324,0.96667,0.50551,0.22482,1.33694,2.68944,2.10753,0.000585767,0.000585767,0.000585767
6,5.1639,0.63648,1.82326,1.24789,0.00294,0.86752,0.0939,0.02247,3.01301,2.92557,3.16547,0.000686533,0.000686533,0.000686533
7,5.95169,0.6034,1.54923,1.23859,0.61947,0.1883,0.31519,0.08701,2.26686,2.62746,2.88919,0.000780698,0.000780698,0.000780698
8,6.73809,0.64947,1.42997,1.27142,0.48809,0.0906,0.17779,0.03904,2.65472,2.70923,3.02788,0.000868261,0.000868261,0.000868261
9,7.5273,0.63834,1.31439,1.24803,0.65357,0.26599,0.2149,0.04811,2.63627,3.27157,3.49774,0.000949223,0.000949223,0.000949223
10,8.30944,0.67377,1.19004,1.26356,0.22685,0.3,0.35484,0.18374,1.26117,3.09593,1.80064,0.00102358,0.00102358,0.00102358
11,9.18179,0.69867,1.19316,1.24907,0.63143,0.60059,0.55238,0.32854,1.27932,2.00634,2.28119,0.00109134,0.00109134,0.00109134
12,9.95248,0.68172,1.07569,1.28813,0.72579,0.79884,0.82187,0.46861,1.06039,1.40908,2.06433,0.0011525,0.0011525,0.0011525
13,10.7304,0.66494,1.13637,1.26167,0.49546,0.60085,0.5473,0.21191,1.68477,2.03365,2.15501,0.0011719,0.0011719,0.0011719
14,11.504,0.59188,1.08401,1.18585,0.52957,0.65609,0.54828,0.29016,1.1496,1.85524,1.65542,0.00113064,0.00113064,0.00113064
15,12.2753,0.60013,0.96115,1.22457,0.57965,0.606,0.54459,0.34113,0.87043,2.70306,1.50203,0.00108938,0.00108938,0.00108938
16,13.06,0.55067,1.02554,1.14572,0.609,0.6811,0.67273,0.43506,0.94864,1.9494,1.82262,0.00104813,0.00104813,0.00104813
