epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.01202,1.02489,2.88444,1.50812,0.00389,1,0.04533,0.0166,1.20486,2.92958,1.57184,0.00011669,0.00011669,0.00011669
2,1.75456,0.67339,2.57876,1.33128,0.00336,1,0.41598,0.2408,0.70542,2.72997,1.1954,0.000242977,0.000242977,0.000242977
3,2.4886,0.61367,2.00758,1.27287,0.00359,1,0.41646,0.2656,0.96518,2.49264,1.37796,0.00036172,0.00036172,0.00036172
4,3.2387,0.67314,1.76405,1.29396,0.00336,1,0.49713,0.26666,1.33709,2.47528,1.75741,0.000472918,0.000472918,0.000472918
5,3.9883,0.63575,1.62211,1.26729,0.4868,0.80538,0.51998,0.29805,1.31769,1.92233,1.95904,0.000576572,0.000576572,0.000576572
6,4.74015,0.63773,1.51228,1.25164,0.36516,0.77535,0.46893,0.16607,1.81465,3.08239,2.46608,0.000672682,0.000672682,0.000672682
7,5.46495,0.57073,1.29506,1.22911,0.55472,0.67082,0.69576,0.41584,1.03624,1.82861,1.86021,0.000761247,0.000761247,0.000761247
8,6.19599,0.60812,1.30374,1.24832,0.5294,0.57521,0.51602,0.21873,1.52208,2.4003,1.75184,0.000842268,0.000842268,0.000842268
9,6.91925,0.63653,1.22679,1.24574,0.50956,0.64444,0.6888,0.3803,1.20757,2.20625,1.60918,0.000915745,0.000915745,0.000915745
10,7.63401,0.63374,1.24161,1.22373,0.70652,0.71197,0.70508,0.42007,1.07293,1.59599,1.66519,0.000981677,0.000981677,0.000981677
11,8.3561,0.64442,1.20045,1.21159,0.61754,0.62564,0.61539,0.36488,1.23007,2.07743,1.71656,0.00104007,0.00104007,0.00104007
12,9.06425,0.63551,1.15711,1.26516,0.75869,0.6388,0.68243,0.42098,1.19197,2.41328,1.83112,0.00109091,0.00109091,0.00109091
13,9.76678,0.60617,1.15966,1.21743,0.65386,0.42925,0.59452,0.38502,1.19714,2.54519,1.73325,0.00110117,0.00110117,0.00110117
14,10.47,0.57391,1.0535,1.17022,0.63916,0.58376,0.63251,0.37949,1.08057,2.60032,1.69193,0.00105402,0.00105402,0.00105402
15,11.1707,0.58348,0.95719,1.21233,0.6804,0.63335,0.61281,0.41664,0.95835,3.09838,1.73044,0.00100687,0.00100687,0.00100687
16,11.8797,0.52867,1.03576,1.15848,0.66816,0.67531,0.64986,0.46647,0.95481,1.93742,1.71578,0.000959716,0.000959716,0.000959716
17,12.5934,0.52288,1.01767,1.13468,0.87036,0.84976,0.90311,0.60478,0.97845,1.12099,1.59667,0.000912563,0.000912563,0.000912563
18,13.4117,0.51636,1.01905,1.17292,0.77138,0.81731,0.8679,0.64893,0.95333,1.24297,1.40166,0.000865411,0.000865411,0.000865411
19,14.1217,0.58086,1.0531,1.18993,0.87321,0.7923,0.8955,0.67705,0.88053,1.07139,1.28296,0.000818259,0.000818259,0.000818259
20,14.8305,0.51229,1.02367,1.15333,0.83404,0.88733,0.93299,0.65489,0.96513,1.07317,1.34737,0.000771107,0.000771107,0.000771107
21,15.5322,0.56455,0.9433,1.17167,0.85085,0.78959,0.87113,0.58316,0.98944,1.30896,1.3962,0.000723954,0.000723954,0.000723954
22,16.2305,0.55443,0.95873,1.17507,0.72914,0.78443,0.82356,0.56129,0.89647,1.53543,1.31478,0.000676802,0.000676802,0.000676802
23,16.9314,0.51009,0.89914,1.13917,0.76373,0.88037,0.92168,0.66405,0.88014,1.25101,1.33884,0.00062965,0.00062965,0.00062965
24,17.634,0.50499,0.87305,1.13873,0.85301,0.87094,0.92047,0.68003,0.8937,1.05457,1.36248,0.000582497,0.000582497,0.000582497
25,18.3439,0.48212,0.88615,1.12259,0.86102,0.81624,0.90496,0.64545,0.93724,1.17951,1.34588,0.000535345,0.000535345,0.000535345
26,19.311,0.64899,1.73998,1.35079,0.85175,0.84188,0.91184,0.68197,0.86751,1.13612,1.36442,0.000488193,0.000488193,0.000488193
27,20.0233,0.42336,1.36231,1.20221,0.87465,0.874,0.90362,0.66171,0.96528,1.00233,1.67388,0.000441041,0.000441041,0.000441041
28,20.7255,0.48522,1.27197,1.27893,0.7587,0.83519,0.8638,0.62934,0.9868,1.26741,1.80282,0.000393888,0.000393888,0.000393888
29,21.4285,0.43566,1.14086,1.24231,0.82087,0.88174,0.92313,0.68592,0.9066,1.18561,1.53174,0.000346736,0.000346736,0.000346736
30,22.1404,0.41818,0.96385,1.21045,0.8425,0.94103,0.93568,0.69752,0.84792,1.07727,1.36717,0.000299584,0.000299584,0.000299584
31,22.8626,0.44531,0.96801,1.24359,0.85497,0.93228,0.93945,0.70282,0.86511,1.00046,1.35337,0.000252431,0.000252431,0.000252431
32,23.6835,0.42576,0.95097,1.25898,0.92687,0.88034,0.94522,0.70589,0.87932,0.94759,1.33817,0.000205279,0.000205279,0.000205279
33,24.4002,0.40582,0.88593,1.16683,0.93213,0.8992,0.94653,0.70785,0.86813,0.90915,1.29438,0.000158127,0.000158127,0.000158127
34,25.1128,0.44617,0.93364,1.2438,0.94314,0.90256,0.94606,0.71609,0.87694,0.90818,1.28002,0.000110975,0.000110975,0.000110975
35,25.8191,0.3781,0.9175,1.22481,0.93092,0.90082,0.946,0.72452,0.86764,0.92261,1.25907,6.38223e-05,6.38223e-05,6.38223e-05
