epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.11594,1.02489,2.88444,1.50812,0.00389,1,0.04533,0.0166,1.20486,2.92958,1.57184,0.00011669,0.00011669,0.00011669
2,1.87228,0.67941,2.58011,1.33834,0.00338,1,0.47953,0.27396,0.60621,2.72232,1.06949,0.000245099,0.000245099,0.000245099
3,2.61055,0.65089,1.99451,1.29312,0.00334,1,0.41583,0.23747,0.91779,2.52731,1.32867,0.000368227,0.000368227,0.000368227
4,3.34627,0.69653,1.81238,1.30216,0.71324,0.14103,0.40575,0.22955,1.11745,2.3021,1.67928,0.000486074,0.000486074,0.000486074
5,4.07643,0.66444,1.62293,1.26616,0.4658,0.58202,0.55128,0.27162,1.20931,2.09495,1.67816,0.00059864,0.00059864,0.00059864
6,4.82207,0.65415,1.53572,1.25418,0.32132,0.47692,0.33432,0.13894,1.25479,2.85575,1.77693,0.000705924,0.000705924,0.000705924
7,5.55559,0.58515,1.26649,1.23206,0.43405,0.43191,0.37633,0.16549,1.68297,2.14858,1.84055,0.000807928,0.000807928,0.000807928
8,6.28362,0.62681,1.3019,1.25191,0.5715,0.43321,0.70883,0.35928,1.52885,5.03219,1.87234,0.000904651,0.000904651,0.000904651
9,7.00884,0.66465,1.20072,1.27065,0.6659,0.2,0.15713,0.0376,3.06916,5.95127,2.90787,0.000996093,0.000996093,0.000996093
10,7.72423,0.65389,1.16111,1.23895,0.75671,0.37519,0.38649,0.152,1.8148,3.70352,1.93351,0.00108225,0.00108225,0.00108225
11,8.4517,0.6494,1.17195,1.22844,0.454,0.46838,0.30626,0.1462,1.34836,3.08549,1.76258,0.00116313,0.00116313,0.00116313
12,9.16088,0.63033,1.14801,1.23364,0.5566,0.6182,0.5583,0.3699,0.96152,3.18856,1.59908,0.00123873,0.00123873,0.00123873
13,9.86191,0.679,1.14794,1.26884,0.48176,0.55556,0.57213,0.26491,1.35114,3.06655,1.89749,0.00127092,0.00127092,0.00127092
14,10.568,0.60162,1.04196,1.18771,0.64138,0.67863,0.61871,0.33045,1.34799,3.1321,1.89517,0.00123791,0.00123791,0.00123791
15,11.28,0.60039,0.95483,1.20979,0.60952,0.67582,0.73359,0.49012,1.00318,3.09208,1.7965,0.00120491,0.00120491,0.00120491
16,11.99,0.56285,1.02077,1.16253,0.52373,0.71649,0.63832,0.39195,1.11772,2.92871,2.07602,0.0011719,0.0011719,0.0011719
17,12.6915,0.57141,1.03508,1.15482,0.69884,0.77799,0.74591,0.48075,1.01655,1.64732,1.65411,0.00113889,0.00113889,0.00113889
18,13.5004,0.56099,1.08965,1.18664,0.44316,0.70684,0.62556,0.43182,1.01622,1.87416,1.44941,0.00110589,0.00110589,0.00110589
19,14.2075,0.62343,1.04428,1.20947,0.45332,0.61604,0.53927,0.35778,1.06995,2.06877,1.4563,0.00107288,0.00107288,0.00107288
20,14.9161,0.58017,1.02827,1.19953,0.59802,0.65426,0.69967,0.4598,1.00538,1.63563,1.4022,0.00103987,0.00103987,0.00103987
21,15.6235,0.57757,0.93482,1.18229,0.75827,0.71776,0.76817,0.48752,1.15315,1.55548,1.51956,0.00100687,0.00100687,0.00100687
22,16.3296,0.55458,0.96717,1.18263,0.81425,0.7713,0.83411,0.52016,1.14695,1.59337,1.6516,0.000973861,0.000973861,0.000973861
23,17.0412,0.5497,0.93364,1.16038,0.82811,0.85983,0.90213,0.68235,0.86296,1.11166,1.36402,0.000940855,0.000940855,0.000940855
