epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.0426,1.054,2.88254,1.55402,0.00341,0.95,0.05558,0.02414,0.8382,2.87322,1.29768,0.00015003,0.00015003,0.00015003
2,1.78384,0.73169,2.50309,1.35412,0.00364,1,0.38653,0.22809,0.77981,2.66515,1.20629,0.000314886,0.000314886,0.000314886
3,2.51386,0.71796,1.88501,1.33027,0.09669,1,0.47354,0.27097,0.75384,2.32186,1.19784,0.000477799,0.000477799,0.000477799
4,3.23686,0.75225,1.67576,1.32895,0.37841,0.875,0.44348,0.16179,1.48818,2.14982,2.13589,0.000638772,0.000638772,0.000638772
5,3.95673,0.80378,1.71202,1.36756,0.42567,0.925,0.46943,0.29551,1.02973,1.74126,1.51246,0.000797803,0.000797803,0.000797803
6,4.67865,0.75829,1.42757,1.33584,0.35448,0.76422,0.50279,0.333,1.25905,1.983,1.74252,0.000954892,0.000954892,0.000954892
7,5.39061,0.72881,1.33132,1.29744,0.48123,0.84824,0.6761,0.45355,0.98998,1.73369,1.56103,0.00111004,0.00111004,0.00111004
8,6.11962,0.69158,1.33885,1.2922,0.6558,0.67541,0.56192,0.38264,1.23435,2.07405,1.97821,0.00126325,0.00126325,0.00126325
9,6.83192,0.76771,1.28634,1.28057,0.56599,0.42727,0.40437,0.26642,1.97465,2.86663,3.08361,0.00141451,0.00141451,0.00141451
10,7.53934,0.71548,1.23445,1.29753,0.44973,0.3359,0.22895,0.11513,2.34132,3.60392,2.98767,0.00156383,0.00156383,0.00156383
