epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.01172,1.02489,2.88444,1.50812,0.00389,1,0.04533,0.0166,1.20486,2.92958,1.57184,0.00011669,0.00011669,0.00011669
2,1.75568,0.67172,2.58167,1.33175,0.00358,1,0.54805,0.35792,0.53837,2.70566,0.95771,0.000240148,0.000240148,0.000240148
3,2.48906,0.63343,2.01071,1.28785,0.00325,0.97778,0.56802,0.37605,0.93607,2.45104,1.6564,0.000353044,0.000353044,0.000353044
4,3.22622,0.66599,1.77889,1.29171,0.60356,0.45931,0.55235,0.35168,1.09373,2.08925,1.88915,0.000455378,0.000455378,0.000455378
5,3.97408,0.68174,1.64456,1.29755,0.50302,0.7988,0.58729,0.27692,1.64393,1.9808,2.30014,0.000547149,0.000547149,0.000547149
6,4.71332,0.62418,1.51993,1.24332,0.41157,0.51992,0.45536,0.10738,2.63274,2.13271,3.31704,0.000628359,0.000628359,0.000628359
7,5.44378,0.56435,1.26481,1.22191,0.45305,0.43675,0.37609,0.15971,2.15415,2.07765,2.44102,0.000699006,0.000699006,0.000699006
8,6.17359,0.63559,1.30111,1.25908,0.50674,0.40274,0.43868,0.10124,2.68777,2.08568,3.32689,0.000759092,0.000759092,0.000759092
9,6.91455,0.66194,1.27815,1.26643,0.72799,0.76838,0.78599,0.44229,1.35063,1.88818,1.93023,0.000808615,0.000808615,0.000808615
10,7.63591,0.64424,1.16982,1.23645,0.77937,0.81205,0.8163,0.55717,1.12877,1.26352,1.80605,0.000847576,0.000847576,0.000847576
11,8.35253,0.58904,1.09149,1.19317,0.69643,0.84354,0.83485,0.49931,1.16328,1.84981,1.66484,0.000875975,0.000875975,0.000875975
12,9.05277,0.6018,1.14697,1.22863,0.76077,0.78412,0.84881,0.5397,1.13832,1.5597,1.75051,0.000893812,0.000893812,0.000893812
13,9.75456,0.60381,1.13613,1.21412,0.69017,0.67929,0.80494,0.52756,1.08524,1.86099,1.71265,0.000874842,0.000874842,0.000874842
14,10.4545,0.54898,1.06459,1.16652,0.89208,0.81369,0.86405,0.55111,1.15336,1.76196,1.80177,0.000808828,0.000808828,0.000808828
15,11.158,0.54224,0.97748,1.19112,0.78074,0.76257,0.84933,0.59706,0.92213,1.95289,1.41395,0.000742815,0.000742815,0.000742815
16,12.2492,0.59051,1.65136,1.33073,0.7626,0.71026,0.82934,0.59956,0.98985,1.30246,1.74365,0.000676802,0.000676802,0.000676802
17,12.9659,0.5634,1.4876,1.32449,0.82788,0.74752,0.82046,0.62468,0.83814,2.26698,1.45907,0.000610789,0.000610789,0.000610789
18,13.6854,0.49402,1.35505,1.31299,0.86709,0.8752,0.88833,0.64124,0.85271,2.64128,1.64331,0.000544776,0.000544776,0.000544776
19,14.3899,0.50425,1.20678,1.28997,0.85701,0.88051,0.89691,0.61977,1.02787,1.47548,2.0121,0.000478762,0.000478762,0.000478762
20,15.0872,0.47911,1.19667,1.30249,0.73039,0.85167,0.90459,0.65334,0.96759,1.42424,1.75853,0.000412749,0.000412749,0.000412749
21,15.7976,0.46512,1.19507,1.24074,0.80468,0.8371,0.91089,0.63576,0.95517,1.33644,1.49066,0.000346736,0.000346736,0.000346736
22,16.4969,0.47585,1.08072,1.27003,0.90693,0.90085,0.93181,0.68225,0.87398,1.16125,1.42688,0.000280723,0.000280723,0.000280723
23,17.2035,0.48364,1.05999,1.28046,0.90092,0.90323,0.94273,0.69283,0.84525,1.09704,1.36388,0.00021471,0.00021471,0.00021471
24,17.9105,0.49029,1.1025,1.24342,0.871,0.89316,0.93029,0.69259,0.86283,1.01185,1.35945,0.000148696,0.000148696,0.000148696
25,18.6143,0.40981,1.03557,1.20533,0.83848,0.89643,0.92284,0.69456,0.87111,1.04478,1.33507,8.26832e-05,8.26832e-05,8.26832e-05
