epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.16889,1.01892,2.89312,1.51126,0.00365,1,0.02484,0.00942,1.25254,2.92963,1.76501,0.00011669,0.00011669,0.00011669
2,1.9934,0.58929,2.69959,1.27164,0.00393,1,0.35642,0.21107,0.69616,2.82982,1.27925,0.000245924,0.000245924,0.000245924
3,2.78734,0.52896,2.50714,1.21393,0.0039,1,0.32513,0.17151,0.81252,2.83363,1.30271,0.000370757,0.000370757,0.000370757
4,3.57235,0.55903,2.32599,1.22537,0.0037,1,0.51798,0.31455,0.64404,2.72952,1.13798,0.00049119,0.00049119,0.00049119
5,4.36554,0.58735,2.02874,1.22595,0.00339,0.98889,0.51635,0.23609,1.58887,2.73848,2.30362,0.000607221,0.000607221,0.000607221
6,5.16408,0.65669,1.7528,1.25025,0.85536,0.18911,0.54952,0.21373,1.56515,2.60455,1.84172,0.000718852,0.000718852,0.000718852
7,5.95825,0.66579,1.48859,1.28726,0.66201,0.38355,0.61469,0.27707,1.21134,2.40065,1.97567,0.000826082,0.000826082,0.000826082
8,6.76059,0.69373,1.3799,1.29997,0.25309,0.28291,0.28235,0.09931,1.9453,2.57993,2.24876,0.000928911,0.000928911,0.000928911
9,7.54671,0.68149,1.30572,1.26487,0.20835,0.32657,0.22794,0.05888,2.35605,2.73033,2.70539,0.00102734,0.00102734,0.00102734
10,8.41867,0.65056,1.19436,1.23102,0.73471,0.26667,0.29244,0.10212,1.82926,2.44674,2.20194,0.00112137,0.00112137,0.00112137
11,9.20522,0.69168,1.18831,1.26826,0.30452,0.71819,0.47789,0.19894,1.4411,2.72586,1.92604,0.00121099,0.00121099,0.00121099
12,9.98076,0.64942,1.09229,1.2762,0.5585,0.63419,0.56648,0.30226,1.20209,2.51703,1.88276,0.00129622,0.00129622,0.00129622
13,10.7544,0.67667,1.15482,1.27227,0.42431,0.76033,0.47797,0.28372,1.48902,3.52187,1.90205,0.00133693,0.00133693,0.00133693
14,11.5208,0.602,1.04894,1.19356,0.54758,0.68889,0.5575,0.31032,1.36791,3.33112,1.86642,0.00130943,0.00130943,0.00130943
15,12.295,0.60043,0.98288,1.21539,0.56866,0.66103,0.57548,0.2498,1.50018,2.13141,1.81151,0.00128192,0.00128192,0.00128192
16,13.0522,0.5612,1.10671,1.16959,0.46369,0.54158,0.40389,0.17938,1.50374,2.46541,1.94457,0.00125442,0.00125442,0.00125442
17,13.8071,0.55669,1.02043,1.14261,0.66882,0.70507,0.69742,0.3445,1.29451,1.59877,1.73467,0.00122691,0.00122691,0.00122691
18,14.5676,0.55904,1.02006,1.18905,0.85393,0.77323,0.86955,0.58922,0.96427,1.27285,1.56738,0.00119941,0.00119941,0.00119941
19,15.4032,0.58307,1.03069,1.19123,0.67301,0.79609,0.79824,0.53677,0.97001,1.45187,1.47736,0.0011719,0.0011719,0.0011719
20,16.1501,0.58178,1.01264,1.20019,0.83438,0.89274,0.88927,0.60623,1.0353,1.08746,1.88559,0.0011444,0.0011444,0.0011444
21,16.9029,0.60358,0.93457,1.20045,0.72601,0.827,0.77605,0.5012,0.96362,1.56081,1.7165,0.00111689,0.00111689,0.00111689
22,17.6619,0.55946,0.97827,1.18167,0.60055,0.62817,0.59192,0.34412,1.19059,2.01792,1.79699,0.00108938,0.00108938,0.00108938
23,18.4158,0.55119,0.91926,1.16839,0.79895,0.87094,0.82868,0.5704,0.96746,1.24936,1.54527,0.00106188,0.00106188,0.00106188
24,19.1614,0.53418,0.87574,1.15526,0.83362,0.77578,0.85463,0.60031,0.93222,1.38011,1.66262,0.00103437,0.00103437,0.00103437
25,19.9123,0.52431,0.89014,1.13982,0.82565,0.84641,0.86224,0.61619,1.05952,1.2889,1.6399,0.00100687,0.00100687,0.00100687
