epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.97268,1.86723,3.54275,2.16108,0.1025,0.04273,0.01023,0.00137,4.21252,9.28077,4.26529,0.0001667,0.0001667,0.0001667
2,10.5425,1.76109,2.58712,1.98899,0.01042,0.02,0.00502,0.0012,3.87761,259.892,8.39465,0.000345119,0.000345119,0.000345119
3,15.9052,1.80788,2.41752,1.99128,0,0,0,0,nan,nan,nan,0.000518351,0.000518351,0.000518351
4,21.249,1.81282,2.31519,1.99682,0,0,0,0,nan,nan,nan,0.000686397,0.000686397,0.000686397
5,26.606,1.90876,2.38048,2.04132,0,0,0,0,nan,nan,nan,0.000849256,0.000849256,0.000849256
6,32.1014,1.75762,2.23434,1.97614,0,0,0,0,nan,nan,nan,0.00100693,0.00100693,0.00100693
7,37.6211,1.62091,2.18016,1.86222,0,0,0,0,nan,nan,nan,0.00115941,0.00115941,0.00115941
